ensg	symbol	Adipose_Tissue	Adrenal_Gland	Bladder	Blood	Blood_Vessel	Brain	Breast	Cervix_Uteri	Colon	Esophagus	Fallopian_Tube	Heart	Kidney	Liver	Lung	Muscle	Nerve	Ovary	Pancreas	Pituitary	Prostate	Salivary_Gland	Skin	Small_Intestine	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina
ENSG00000013297	CLDN11	1.10965786276937	-0.849110589253831	0.894914216183314	-2.54424350828486	-0.736135240304293	1.35186603747368	1.13470833348569	-0.24518694905954	-0.217656430527994	-0.750265003933914	1.23941112027055	-1.14469429638559	-0.72692801700065	-1.86640153268703	0.0766328868202739	-2.01635443318323	2.10950543205482	2.89586582640753	-2.25250240266331	1.47480020003396	0.949319513405698	-0.382402865662027	0.578423120223765	-0.337321791313872	-1.16162235755345	-1.21397621919818	2.95469194001701	-1.14251584483488	0.375185726205589	0.606714078803971
ENSG00000163110	PDLIM5	0.505935443114913	-0.536933609015033	0.744483825308897	-2.0611900735348	1.36567457302943	-1.11801642209322	0.477698290667198	0.501916417636861	0.151532111644737	0.401837021815176	0.873040827987415	1.00063637070166	-0.531439590313024	-0.664043262843064	0.218626168405728	1.38969928236366	0.536776661620586	0.168735436645224	-1.3944950493288	-0.369378043766324	0.970212670523085	0.417091073774357	0.0936302766298536	-0.244927931735101	-0.775034989308041	-0.558699527393258	-1.05140304102438	-0.0230117865943277	1.33291886258282	0.516038986542487
ENSG00000168769	TET2	0.116742203568127	-0.477449910942165	0.154081997665337	0.859166137424883	0.242386458944056	-1.03072215052073	0.256242817698811	0.966117769876767	-0.0126299860048928	0.290125944314965	0.777580760223299	-0.976816689765625	-0.677038541981283	-1.12067698257365	0.837503914187177	-0.829309340265806	0.874228638877863	0.516523813990065	-1.02656059895615	0.611456948845847	0.330186397337606	0.509587993023719	0.773452032558846	0.28899283666008	0.764118415779326	-0.414323346432852	-1.00054862811337	0.460591854802142	0.950761576387962	1.07541279707589
ENSG00000164362	TERT	-0.142262548438053	-0.145509332164326	-0.135940160246632	0.0346829016699987	-0.143493781539343	0.0581330766304117	-0.111978752923732	-0.109734271995834	0.20312827011806	-0.043650526497232	-0.111568675530811	-0.147215836991866	-0.132489525861711	-0.142416666609153	-0.100072200373662	-0.147612703376321	-0.141210240025896	-0.138908981983132	-0.145688073337106	-0.119130293834948	-0.102471365184139	-0.0491359737292452	-0.0325409163151354	0.619756228096466	0.526708820317623	0.118000984261458	1.75100533406165	-0.115026931709919	-0.128922092357816	-0.090868511771501
ENSG00000113430	IRX4	-0.603292119337575	-0.821568329477918	-0.778899760883141	-0.834267162248653	-0.773741307734518	-0.815092745492961	1.16427024881588	-0.260679159142784	-0.822278800278958	0.826263718258616	-0.764186572986604	0.656538524273362	-0.812237242526721	-0.836423179502933	-0.805629672466827	-0.407038926913946	-0.813214210924336	-0.776052578012887	-0.823831793829981	0.0683980463900977	2.52924436880336	2.82758273972829	2.70055285858101	-0.813888600427246	-0.83291054722847	-0.813224654045794	0.36464354491245	-0.794983278771779	-0.809758755523355	2.60876067392075
ENSG00000043143	JADE2	0.18086242489804	0.544049740461549	0.772783744746466	-0.268305751915431	0.620592718359875	-0.220363488466313	0.292808750475617	0.780606080239874	0.162729889721618	0.0770232231262319	0.796186857535621	-1.14017137522489	-0.534074123004133	-2.13561821335386	0.409397447348212	-1.11744558282679	0.830518634581665	0.862896814637889	-0.930735984188181	0.508847948983718	0.470395717779343	0.0189853747269511	0.0151577739302726	0.649521507158931	0.933052173351733	-0.136263817821576	-0.462276322193414	0.733346938444725	0.848726768587384	0.146797646184298
ENSG00000137166	FOXP4	0.117221789705473	-0.676572546593447	0.35510124485232	-1.66633522962623	1.21418580994139	-1.02225618556513	0.46750275250757	1.06473813940263	0.491825263448787	0.25596174131096	0.60140774684228	-0.807382358407743	-0.222305129542972	-0.334440103474021	0.538062128344907	-1.08114251781751	1.21344080971559	0.504016147748708	0.00365212145152111	0.627087445957542	1.28879965955861	0.653666294843549	-0.1796737006002	0.350033809846398	-0.760407377821354	1.15172810808272	1.32303632421256	1.36268763943433	1.27646978429501	0.300039418926598
ENSG00000183807	FAM162B	1.99916984833091	-0.554269953174452	1.22092614539133	-2.49676653198953	-0.498359214076959	-0.860288683456071	1.67858955329857	2.14990888059288	-0.211287049642231	0.693975085613116	1.8679131714017	-0.373630627044597	-0.225374991564669	-1.92016209818889	2.08155254748768	-0.24269863684016	1.81403774199051	0.950022982057361	-1.46292012815316	1.085695896651	0.972766985379945	-0.0171838513727049	-0.693525947603997	-0.528253411131569	-2.32475019201772	-0.203694045698024	0.107470970116965	1.84476915189839	1.50261365968315	1.55311410631999
ENSG00000173612	GPRC6A	-0.0188273507346972	0.304377832412646	0.00851829548223693	-0.0214568044363169	-0.0205505448974792	-0.0201174895801985	-0.0171476573050142	0.012450794199795	-0.011802835841136	-0.0195627792808874	-0.00781325085066966	-0.0218728476829647	0.219641659891978	-0.0215870268024423	-0.00849616668787477	-0.0192706667127167	-0.0105290092519206	-0.0104325295821171	-0.0201888286008192	-0.00646633188314967	0.0926560526626454	0.96488644228975	-0.0203094344013871	-0.00555201731187686	-0.0207209089526009	-0.0198258285833187	0.0343566373818546	-0.0132837032143637	-0.00742095205088404	-0.00485087446512894
ENSG00000185002	RFX6	-0.0954065690739963	0.500730853988095	0.0711169622427654	-0.131314217769311	-0.125802305336221	-0.079973336546861	0.106110206284394	0.0117561999273347	0.104156716707496	-0.106869508391133	-0.0458903528090307	-0.125352142583061	-0.118284834118314	-0.126863960918507	-0.0119205187119625	-0.113484320621867	-0.0392645891532597	-0.0893504369500554	0.970822610533288	0.150220778918473	0.153490632097921	0.0346701895808286	-0.113210795214312	0.478882184908832	-0.124118958401804	1.20232012920893	0.499618817846429	-0.0995428284797774	-0.08717566576651	0.0134687761646522
