Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.down	Skin	1775	9	0.786749079421138	1	ENSG00000178852:ENSG00000011332:ENSG00000167641:ENSG00000130584:ENSG00000183807:ENSG00000153814:ENSG00000205356:ENSG00000167034:ENSG00000254087
DEG.down	Small_Intestine	1257	3	0.986827974251595	1	ENSG00000110092:ENSG00000005243:ENSG00000183807
DEG.down	Spleen	1930	10	0.77423776997681	1	ENSG00000167695:ENSG00000259207:ENSG00000005243:ENSG00000005882:ENSG00000115504:ENSG00000163558:ENSG00000013297:ENSG00000163110:ENSG00000137166:ENSG00000167034
DEG.down	Stomach	2290	11	0.858676883831572	1	ENSG00000170382:ENSG00000259207:ENSG00000064300:ENSG00000167645:ENSG00000152256:ENSG00000197457:ENSG00000130584:ENSG00000013297:ENSG00000163110:ENSG00000168769:ENSG00000153814
DEG.down	Testis	2599	15	0.664775041630298	1	ENSG00000133056:ENSG00000110092:ENSG00000170421:ENSG00000259207:ENSG00000173917:ENSG00000121067:ENSG00000005884:ENSG00000167644:ENSG00000168899:ENSG00000197457:ENSG00000163110:ENSG00000168769:ENSG00000113430:ENSG00000043143:ENSG00000254087
DEG.down	Thyroid	976	5	0.733095135782221	1	ENSG00000260027:ENSG00000167641:ENSG00000072858:ENSG00000013297:ENSG00000167034
DEG.down	Uterus	788	4	0.728294641535574	1	ENSG00000167644:ENSG00000118640:ENSG00000072858:ENSG00000254087
DEG.down	Vagina	598	0	1	1	
DEG.twoside	Adipose_Tissue	2914	15	0.824412646352428	1	ENSG00000005243:ENSG00000173917:ENSG00000120093:ENSG00000182742:ENSG00000108511:ENSG00000260027:ENSG00000120068:ENSG00000173868:ENSG00000064300:ENSG00000167642:ENSG00000167641:ENSG00000091409:ENSG00000130584:ENSG00000072858:ENSG00000183807
DEG.twoside	Adrenal_Gland	4198	30	0.22220297578829	1	ENSG00000133056:ENSG00000170382:ENSG00000180176:ENSG00000167695:ENSG00000178852:ENSG00000141293:ENSG00000173917:ENSG00000108511:ENSG00000260027:ENSG00000120068:ENSG00000121104:ENSG00000167641:ENSG00000167644:ENSG00000174562:ENSG00000115504:ENSG00000091409:ENSG00000197457:ENSG00000243509:ENSG00000203896:ENSG00000206530:ENSG00000163611:ENSG00000163558:ENSG00000013297:ENSG00000163110:ENSG00000168769:ENSG00000137166:ENSG00000183807:ENSG00000185002:ENSG00000153814:ENSG00000205356
